Fläche,Fragen
891.12,Welche Fläche nimmt Berlin ein?
755.09,Wie groß ist die Fläche von Hamburg?
310.70,Wie groß ist die Fläche der Stadt München?
405.01,Wie viele Quadratmeter umfasst die Stadt Köln?
248.31,Wie viele Quadratmeter umfasst die Stadt Frankfurt am Main?
207.33,Wie groß ist die Fläche der Stadt Stuttgart?
217.41,Wie viele Quadratmeter umfasst die Stadt Düsseldorf?
297.80,Welche Fläche nimmt Leipzig ein?
280.71,Welche Fläche nimmt Dortmund ein?
210.34,Wie viele Quadratmeter umfasst die Stadt Essen?
317.84,Wie groß ist die Fläche von Bremen?
328.49,Wie groß ist die Fläche der Stadt Dresden?
204.30,Wie groß ist die Fläche von Hannover?
186.44,Wie groß ist die Fläche von Nürnberg?
232.79,Wie groß ist die Fläche der Stadt Duisburg?
145.66,Wie viele Quadratmeter umfasst die Stadt Bochum?
168.39,Welche Fläche nimmt Wuppertal ein?
258.83,Wie groß ist die Fläche der Stadt Bielefeld?
141.06,Wie groß ist die Fläche von Bonn?
303.28,Welche Fläche nimmt Münster ein?
144.97,Welche Fläche nimmt Mannheim ein?
173.42,Wie viele Quadratmeter umfasst die Stadt Karlsruhe?
146.85,Wie groß ist die Fläche der Stadt Augsburg?
203.87,Wie groß ist die Fläche von Wiesbaden?
170.47,Wie groß ist die Fläche von Mönchengladbach?
104.94,Wie viele Quadratmeter umfasst die Stadt Gelsenkirchen?
160.85,Wie viele Quadratmeter umfasst die Stadt Aachen?
192.70,Welche Fläche nimmt Braunschweig ein?
118.65,Wie viele Quadratmeter umfasst die Stadt Kiel?
221.03,Welche Fläche nimmt Chemnitz ein?
135.01,Wie viele Quadratmeter umfasst die Stadt Halle (Saale)?
201.03,Wie viele Quadratmeter umfasst die Stadt Magdeburg?
153.04,Wie groß ist die Fläche der Stadt Freiburg im Breisgau?
137.78,Wie groß ist die Fläche von Krefeld?
97.73,Wie groß ist die Fläche der Stadt Mainz?
214.19,Wie groß ist die Fläche von Lübeck?
269.91,Wie groß ist die Fläche von Erfurt?
77.09,Welche Fläche nimmt Oberhausen ein?
181.36,Wie groß ist die Fläche von Rostock?
106.79,Wie groß ist die Fläche von Kassel?
160.45,Wie groß ist die Fläche der Stadt Hagen?
188.24,Wie groß ist die Fläche von Potsdam?
167.52,Wie groß ist die Fläche von Saarbrücken?
226.42,Wie viele Quadratmeter umfasst die Stadt Hamm?
77.43,Wie groß ist die Fläche der Stadt Ludwigshafen am Rhein?
91.28,Welche Fläche nimmt Mülheim an der Ruhr ein?
103.09,Wie groß ist die Fläche von Oldenburg (Oldenburg)?
119.80,Wie groß ist die Fläche der Stadt Osnabrück?
78.87,Wie viele Quadratmeter umfasst die Stadt Leverkusen?
122.07,Wie groß ist die Fläche der Stadt Darmstadt?
108.83,Wie groß ist die Fläche von Heidelberg?
89.54,Wie viele Quadratmeter umfasst die Stadt Solingen?
51.42,Welche Fläche nimmt Herne ein?
80.86,Wie groß ist die Fläche der Stadt Regensburg?
99.52,Wie groß ist die Fläche der Stadt Neuss?
179.59,Welche Fläche nimmt Paderborn ein?
133.35,Welche Fläche nimmt Ingolstadt ein?
44.88,Wie groß ist die Fläche der Stadt Offenbach am Main?
63.35,Welche Fläche nimmt Fürth ein?
118.68,Welche Fläche nimmt Ulm ein?
87.60,Wie groß ist die Fläche der Stadt Würzburg?
99.89,Wie groß ist die Fläche von Heilbronn?
97.99,Welche Fläche nimmt Pforzheim ein?
204.62,Welche Fläche nimmt Wolfsburg ein?
100.62,Wie groß ist die Fläche von Bottrop?
117.02,Welche Fläche nimmt Göttingen ein?
87.04,Welche Fläche nimmt Reutlingen ein?
105.25,Wie groß ist die Fläche der Stadt Koblenz?
76.96,Wie groß ist die Fläche von Erlangen?
101.53,Wie viele Quadratmeter umfasst die Stadt Bremerhaven?
74.52,Welche Fläche nimmt Remscheid ein?
83.09,Wie groß ist die Fläche von Bergisch Gladbach?
66.50,Wie groß ist die Fläche von Recklinghausen?
117.06,Wie groß ist die Fläche von Trier?
114.77,Wie viele Quadratmeter umfasst die Stadt Jena?
67.68,Welche Fläche nimmt Moers ein?
224.49,Wie groß ist die Fläche der Stadt Salzgitter?
114.69,Wie viele Quadratmeter umfasst die Stadt Siegen?
112.02,Welche Fläche nimmt Gütersloh ein?
92.29,Welche Fläche nimmt Hildesheim ein?
139.70,Welche Fläche nimmt Kaiserslautern ein?
76.47,Wie groß ist die Fläche von Hanau?
165.62,Welche Fläche nimmt Cottbus/Chóśebuz ein?
130.52,Wie viele Quadratmeter umfasst die Stadt Schwerin?
72.40,Welche Fläche nimmt Witten ein?
43.34,Wie groß ist die Fläche der Stadt Ludwigsburg?
46.43,Wie viele Quadratmeter umfasst die Stadt Esslingen am Neckar?
108.06,Wie groß ist die Fläche der Stadt Tübingen?
125.49,Wie groß ist die Fläche der Stadt Iserlohn?
85.01,Wie groß ist die Fläche von Düren?
152.18,Welche Fläche nimmt Gera ein?
72.61,Welche Fläche nimmt Gießen ein?
56.73,Wie viele Quadratmeter umfasst die Stadt Flensburg?
102.58,Wie groß ist die Fläche der Stadt Zwickau?
165.53,Wie groß ist die Fläche der Stadt Villingen-Schwenningen?
